Animat,Speed,Size,Population,Day,Meanspeed,Meansize
,,,,,,
,,,,,,
0,2.0,12.0,50.0,1,2.0,12.0
1,2.0,12.0,50.0,1,2.0,12.0
2,2.0,12.0,50.0,1,2.0,12.0
3,2.0,12.0,50.0,1,2.0,12.0
4,2.0,12.0,50.0,1,2.0,12.0
5,2.0,12.0,50.0,1,2.0,12.0
6,2.0,12.0,50.0,1,2.0,12.0
7,2.0,12.0,50.0,1,2.0,12.0
8,2.0,12.0,50.0,1,2.0,12.0
9,2.0,12.0,50.0,1,2.0,12.0
10,2.0,12.0,50.0,1,2.0,12.0
11,2.0,12.0,50.0,1,2.0,12.0
12,2.0,12.0,50.0,1,2.0,12.0
13,2.0,12.0,50.0,1,2.0,12.0
14,2.0,12.0,50.0,1,2.0,12.0
15,2.0,12.0,50.0,1,2.0,12.0
16,2.0,12.0,50.0,1,2.0,12.0
17,2.0,12.0,50.0,1,2.0,12.0
18,2.0,12.0,50.0,1,2.0,12.0
19,2.0,12.0,50.0,1,2.0,12.0
20,2.0,12.0,50.0,1,2.0,12.0
21,2.0,12.0,50.0,1,2.0,12.0
22,2.0,12.0,50.0,1,2.0,12.0
23,2.0,12.0,50.0,1,2.0,12.0
24,2.0,12.0,50.0,1,2.0,12.0
25,2.0,12.0,50.0,1,2.0,12.0
26,2.0,12.0,50.0,1,2.0,12.0
27,2.0,12.0,50.0,1,2.0,12.0
28,2.0,12.0,50.0,1,2.0,12.0
29,2.0,12.0,50.0,1,2.0,12.0
30,2.0,12.0,50.0,1,2.0,12.0
31,2.0,12.0,50.0,1,2.0,12.0
32,2.0,12.0,50.0,1,2.0,12.0
33,2.0,12.0,50.0,1,2.0,12.0
34,2.0,12.0,50.0,1,2.0,12.0
35,2.0,12.0,50.0,1,2.0,12.0
36,2.0,12.0,50.0,1,2.0,12.0
37,2.0,12.0,50.0,1,2.0,12.0
38,2.0,12.0,50.0,1,2.0,12.0
39,2.0,12.0,50.0,1,2.0,12.0
40,2.0,12.0,50.0,1,2.0,12.0
41,2.0,12.0,50.0,1,2.0,12.0
42,2.0,12.0,50.0,1,2.0,12.0
43,2.0,12.0,50.0,1,2.0,12.0
44,2.0,12.0,50.0,1,2.0,12.0
45,2.0,12.0,50.0,1,2.0,12.0
46,2.0,12.0,50.0,1,2.0,12.0
47,2.0,12.0,50.0,1,2.0,12.0
48,2.0,12.0,50.0,1,2.0,12.0
49,2.0,12.0,50.0,1,2.0,12.0
0,2.0,12.0,75.0,2,2.0011547,12.012807
1,2.0,12.0,75.0,2,2.0011547,12.012807
2,2.0,12.0,75.0,2,2.0011547,12.012807
3,2.0,12.0,75.0,2,2.0011547,12.012807
4,2.0,12.0,75.0,2,2.0011547,12.012807
5,2.0,12.0,75.0,2,2.0011547,12.012807
6,2.0,12.0,75.0,2,2.0011547,12.012807
7,2.0,12.0,75.0,2,2.0011547,12.012807
8,2.0,12.0,75.0,2,2.0011547,12.012807
9,2.0,12.0,75.0,2,2.0011547,12.012807
10,2.0,12.0,75.0,2,2.0011547,12.012807
11,2.0,12.0,75.0,2,2.0011547,12.012807
12,2.0,12.0,75.0,2,2.0011547,12.012807
