timeStep,hosts,consumers
,,
,,
0,9991,10073
1,6740,12009
2,4541,12608
3,3076,12305
4,2246,11407
5,1677,10286
6,1313,9145
7,1095,8073
8,1001,6983
9,921,6105
10,908,5315
11,865,4646
12,866,4022
13,884,3517
14,883,3030
15,891,2687
16,926,2364
17,974,2071
18,1005,1803
19,1053,1614
20,1119,1449
21,1201,1286
22,1269,1154
23,1355,1072
24,1439,1000
25,1506,932
26,1578,861
27,1679,810
28,1800,761
29,1954,698
30,2106,667
31,2276,643
32,2438,638
33,2592,629
34,2744,630
35,2890,639
36,3068,635
37,3244,642
38,3439,658
39,3597,684
40,3787,707
41,3959,727
42,4120,750
43,4278,791
44,4425,854
45,4627,913
46,4820,930
47,4988,956
48,5170,999
49,5332,1043
50,5528,1054
51,5732,1100
52,5882,1117
53,6082,1142
54,6203,1164
55,6384,1205
56,6539,1280
57,6657,1349
58,6856,1354
59,7093,1359
60,7246,1428
61,7340,1486
62,7443,1544
63,7482,1629
64,7515,1700
65,7572,1765
66,7556,1881
67,7585,1983
68,7598,2083
69,7565,2209
70,7465,2339
71,7436,2386
72,7410,2397
73,7433,2396
74,7398,2400
75,7254,2550
76,7086,2612
77,7006,2625
78,6954,2622
79,6869,2657
80,6730,2721
81,6537,2813
82,6373,2855
83,6179,2924
84,6078,2884
85,5933,2888
86,5772,2964
87,5638,2990
88,5461,3011
89,5331,3059
90,5155,3061
91,5054,3016
92,4962,2900
93,4887,2855
94,4744,2885
95,4720,2773
96,4630,2781
97,4521,2756
98,4449,2663
99,4396,2612
100,4321,2616
101,4254,2537
102,4246,2450
103,4222,2402
104,4205,2374
105,4157,2337
106,4156,2309
107,4178,2246
108,4203,2189
109,4249,2169
110,4219,2196
111,4228,2146
112,4244,2068
113,4326,2043
114,4372,1997
115,4443,1949
116,4534,1896
117,4589,1898
118,4698,1875
119,4720,1896
120,4835,1859
121,4854,1896
122,4956,1879
123,5028,1872
124,5068,1859
125,5161,1864
126,5231,1923
127,5325,1977
128,5393,2001
129,5443,1998
130,5475,2025
131,5524,2017
132,5601,2056
133,5660,2074
134,5675,2164
135,5705,2240
136,5666,2325
137,5645,2340
138,5633,2343
139,5642,2328
140,5627,2346
141,5625,2322
142,5635,2310
143,5650,2301
144,5683,2264
145,5735,2233
146,5804,2260
147,5781,2301
148,5734,2369
149,5641,2412
150,5601,2441
151,5583,2473
152,5596,2468
153,5596,2456
154,5595,2444
155,5578,2470
156,5519,2565
157,5451,2584
158,5427,2560
159,5385,2513
160,5394,2523
161,5348,2515
162,5295,2512
163,5250,2540
164,5204,2559
165,5128,2571
166,5057,2587
167,4999,2576
168,4937,2596
169,4889,2605
170,4803,2638
171,4739,2623
172,4650,2609
173,4646,2571
174,4645,2536
175,4610,2546
176,4571,2555
177,4517,2530
178,4463,2507
179,4417,2501
180,4360,2450
181,4359,2447
182,4350,2420
183,4320,2399
184,4282,2366
185,4236,2297
186,4226,2301
187,4216,2283
188,4229,2233
189,4276,2221
190,4283,2226
191,4289,2219
192,4283,2191
193,4219,2210
194,4256,2192
195,4228,2202
196,4246,2151
197,4294,2116
198,4296,2117
199,4396,2075
200,4522,2044
201,4598,2024
202,4654,2028
