timeStep,hosts,consumers
,,
,,
0,10183,9954
1,6878,11705
2,4650,12178
3,3318,11782
4,2450,10871
5,1898,9845
6,1516,8781
7,1296,7788
8,1148,6847
9,1050,5994
10,968,5153
11,931,4460
12,892,3877
13,882,3384
14,864,2970
15,842,2562
16,843,2218
17,845,1937
18,841,1710
19,855,1479
20,909,1265
21,945,1107
22,983,949
23,1010,845
24,1056,742
25,1128,639
26,1199,554
27,1270,472
28,1335,422
29,1389,369
30,1458,333
31,1521,295
32,1584,272
33,1666,238
34,1758,214
35,1839,198
36,1914,172
37,2000,171
38,2076,156
39,2171,152
40,2279,143
41,2363,137
42,2465,128
43,2570,128
44,2705,134
45,2831,136
46,2951,128
47,3075,114
48,3201,107
49,3345,97
50,3473,97
51,3608,101
52,3758,95
53,3861,91
54,4007,83
55,4131,80
56,4264,77
57,4404,77
58,4541,78
59,4704,84
60,4862,95
61,5022,93
62,5178,89
63,5322,91
64,5488,84
65,5640,85
66,5824,95
67,5993,99
68,6171,93
69,6326,112
70,6494,114
71,6674,113
72,6876,111
73,7052,105
74,7217,99
75,7371,102
76,7575,109
77,7774,106
78,7969,102
79,8172,97
80,8386,91
81,8613,93
82,8837,90
83,9054,96
84,9266,96
85,9466,94
86,9666,102
87,9878,95
88,10093,79
89,10299,79
90,10517,80
91,10740,70
92,10945,69
93,11160,73
94,11381,73
95,11588,74
96,11841,73
97,12062,75
98,12263,73
99,12483,70
100,12705,68
101,12933,65
102,13151,62
103,13365,57
104,13600,50
105,13816,42
106,14040,37
107,14256,34
108,14465,42
109,14701,38
110,14958,42
111,15187,41
112,15418,35
113,15627,36
114,15831,44
115,16077,46
116,16264,63
117,16464,66
118,16676,67
119,16862,81
120,17065,85
121,17295,94
122,17487,95
123,17680,111
124,17867,116
125,18059,108
126,18248,130
127,18404,138
128,18569,143
129,18742,149
130,18943,146
131,19107,154
132,19253,157
133,19398,170
134,19540,184
135,19709,199
136,19859,213
137,20034,226
138,20156,239
139,20304,252
140,20415,287
141,20519,305
142,20578,358
143,20664,399
144,20729,448
145,20788,455
146,20865,474
147,20938,515
148,20972,554
149,21015,587
150,21079,607
151,21103,639
152,21118,667
153,21154,668
154,21154,695
155,21180,730
156,21210,714
157,21202,763
158,21189,811
159,21181,836
160,21168,844
161,21126,894
162,21087,927
163,21036,958
164,20983,1005
165,20913,1037
166,20799,1120
167,20678,1181
168,20609,1196
169,20513,1230
170,20382,1259
171,20250,1332
172,20115,1385
173,19919,1422
174,19737,1451
175,19531,1525
176,19327,1551
177,19118,1599
178,18940,1639
179,18733,1667
180,18490,1727
181,18197,1825
182,17947,1904
183,17644,1989
184,17345,2046
185,17033,2120
186,16748,2172
187,16476,2196
188,16193,2194
189,15926,2174
190,15657,2156
191,15319,2201
192,15005,2220
193,14657,2249
194,14344,2229
195,14058,2269
196,13806,2245
197,13569,2219
198,13315,2192
199,13056,2175
200,12771,2178
201,12527,2143
202,12288,2108
203,12039,2101
204,11812,2035
205,11603,1973
206,11351,1973
207,11135,1946
208,10924,1928
209,10668,1938
210,10432,1944
211,10177,1979
212,9938,1956
213,9669,1961
214,9417,1994
215,9122,2043
216,8817,2064
217,8486,2104
