timeStep,prey,predators
,,
,,
0,250,55
1,262,55
2,271,55
3,283,55
4,285,55
5,303,55
6,312,55
7,323,55
8,321,55
9,326,55
10,355,55
11,354,56
12,360,56
13,364,56
14,371,56
15,376,56
16,397,56
17,388,56
18,397,56
19,412,56
20,410,56
21,404,56
22,410,56
23,411,56
24,416,56
25,437,55
26,448,55
27,443,55
28,453,55
29,457,56
30,465,56
31,477,56
32,471,56
33,471,56
34,472,56
35,486,56
36,471,56
37,499,56
38,473,56
39,470,56
40,472,56
41,473,56
42,484,56
43,485,57
44,475,57
45,494,58
46,482,58
47,487,58
48,487,58
49,476,58
50,481,58
51,498,58
52,492,58
53,495,55
54,488,56
55,505,56
56,492,56
57,498,57
58,497,57
59,497,57
60,500,57
61,499,57
62,502,57
63,505,57
64,497,58
65,506,58
66,508,58
67,502,58
68,503,59
69,503,59
70,510,59
71,519,58
72,506,57
73,510,60
74,518,60
75,519,60
76,516,60
77,533,61
78,531,60
79,538,59
80,543,59
81,532,58
82,527,58
83,521,58
84,524,58
85,527,57
86,534,57
87,540,57
88,555,56
89,556,54
90,556,54
91,547,54
92,551,54
93,560,54
94,569,54
95,569,54
96,575,54
97,584,54
98,591,53
99,587,54
100,596,54
101,599,54
102,610,54
103,610,55
104,622,57
105,634,57
106,642,56
107,642,56
108,629,57
109,626,57
110,631,57
111,642,57
112,638,57
113,645,56
114,634,56
115,642,57
116,652,57
117,652,56
118,662,55
119,671,54
120,657,54
121,673,54
122,681,54
123,687,54
124,687,54
125,674,54
126,686,54
127,681,54
128,685,52
129,684,53
130,680,53
131,669,53
132,679,54
133,709,54
134,700,54
135,720,52
136,733,52
137,717,52
138,723,52
139,720,52
140,722,52
141,740,52
142,753,52
143,759,51
144,755,51
145,752,51
146,758,51
147,766,51
148,764,51
149,781,52
150,785,53
151,781,52
152,791,52
153,790,51
154,797,51
155,798,51
156,801,51
157,812,51
158,816,51
159,837,51
160,839,51
161,860,51
162,853,51
163,852,51
164,866,50
165,854,50
166,866,50
167,862,49
168,885,49
169,869,50
170,876,50
171,872,49
172,873,49
173,876,49
174,882,50
175,877,50
176,875,49
177,894,49
178,886,48
179,906,48
180,905,48
181,896,47
182,917,47
183,915,47
184,935,46
185,936,47
186,950,48
187,950,47
188,949,47
189,950,45
190,941,45
191,954,45
192,953,46
193,993,46
194,995,45
195,1014,44
196,992,43
197,995,43
198,1010,43
199,1005,43
200,1002,43
201,1010,43
202,1036,42
203,1018,42
204,1010,40
205,1008,40
206,1019,40
207,1042,40
208,1072,40
209,1053,39
210,1084,39
211,1091,39
212,1103,39
213,1119,37
214,1108,37
215,1107,37
216,1111,37
217,1122,37
218,1134,37
219,1125,37
220,1106,37
221,1115,37
222,1124,36
223,1132,36
224,1142,36
225,1138,37
226,1166,36
227,1141,36
228,1145,36
229,1177,36
230,1166,36
231,1181,34
232,1188,34
233,1185,34
234,1173,34
235,1208,34
236,1188,34
237,1198,34
238,1220,33
239,1214,32
240,1210,32
241,1208,31
242,1246,30
243,1259,30
244,1287,30
245,1311,30
246,1300,29
247,1313,27
248,1304,27
249,1331,27
250,1335,27
251,1362,27
252,1356,27
253,1385,27
254,1352,27
