timeStep,prey,predators
,,
,,
0,243,52
1,250,52
2,263,52
3,262,52
4,274,52
5,295,52
6,290,52
7,301,52
8,306,52
9,326,52
10,336,52
11,343,52
12,354,52
13,346,52
14,373,52
15,381,52
16,392,52
17,403,52
18,401,52
19,406,52
20,413,52
21,432,52
22,426,52
23,435,53
24,442,53
25,455,53
26,446,54
27,472,54
28,468,54
29,481,54
30,491,54
31,482,54
32,471,54
33,483,54
34,485,54
35,494,54
36,497,54
37,500,54
38,506,55
39,517,56
40,505,56
41,511,58
42,509,58
43,522,59
44,518,59
45,516,60
46,536,60
47,535,62
48,535,62
49,533,62
50,526,63
51,531,63
52,531,63
53,548,63
54,551,62
55,557,63
56,561,64
57,565,65
58,570,64
59,564,65
60,556,65
61,564,65
62,571,65
63,582,65
64,581,65
65,594,63
66,585,64
67,588,64
68,582,63
69,586,62
70,586,62
71,588,63
72,591,63
73,588,63
74,599,62
75,587,62
76,602,62
77,607,63
78,618,63
79,613,64
80,605,64
81,606,64
82,614,64
83,615,64
84,613,66
85,622,68
86,619,68
87,606,68
88,626,69
89,615,69
90,625,68
91,635,69
92,653,69
93,658,69
94,639,69
95,655,69
96,634,69
97,642,69
98,650,69
99,679,69
100,678,68
101,679,67
102,677,67
103,678,67
104,683,67
105,695,68
106,701,69
107,706,68
108,703,70
109,711,70
110,716,69
111,722,70
112,726,72
113,735,73
114,723,72
115,738,72
116,730,73
117,751,73
118,758,73
119,774,74
120,777,74
121,786,73
122,781,71
123,778,71
124,782,71
125,783,71
126,792,71
127,804,70
128,813,68
129,811,68
130,824,69
131,812,68
132,817,68
133,849,69
134,857,69
135,845,69
136,842,69
137,844,70
138,861,70
139,857,70
140,879,71
141,874,70
142,890,71
143,917,71
144,928,70
145,926,70
146,925,70
147,928,71
148,949,70
149,939,69
150,944,68
151,943,67
152,960,68
153,936,68
154,953,68
155,963,67
156,967,67
157,965,64
158,978,63
159,957,61
160,987,61
161,999,61
162,990,60
163,997,59
164,994,59
165,1008,59
166,1013,60
167,1014,60
168,1036,60
169,1019,60
170,1048,60
171,1036,59
172,1073,58
173,1084,58
174,1093,57
175,1096,58
176,1101,58
177,1127,58
178,1123,57
179,1115,57
180,1118,57
181,1132,57
182,1142,56
183,1139,55
184,1135,53
185,1132,52
186,1145,52
187,1155,51
188,1141,51
189,1177,51
190,1195,50
191,1191,49
192,1219,48
193,1223,48
194,1226,48
195,1231,48
196,1214,48
197,1237,49
198,1253,48
199,1261,48
200,1270,48
201,1290,48
202,1286,48
203,1319,48
204,1308,50
205,1305,49
206,1316,48
207,1339,48
208,1340,49
209,1336,50
210,1349,52
211,1375,52
212,1345,51
213,1356,52
214,1367,52
215,1354,52
216,1402,53
217,1409,53
218,1416,53
219,1409,51
220,1403,50
221,1403,50
222,1426,50
223,1416,50
224,1441,50
225,1464,50
226,1452,50
227,1477,49
228,1488,49
229,1510,48
230,1512,49
231,1498,48
232,1517,47
233,1532,47
234,1550,49
235,1557,49
236,1560,49
237,1566,49
238,1562,49
239,1555,49
240,1556,50
241,1562,50
242,1586,50
243,1608,50
244,1580,48
245,1578,49
246,1597,49
247,1626,49
248,1612,51
249,1651,50
250,1633,50
